,batsman,runs,balls,stdv,numerator,denominator,batting_rating
0,AB de Villiers,443,288,22.547751526507003,38513670001,90912.53415487624,423634.3245628717
1,AD Russell,125,74,7.769241347204443,244140625,5174.314737238159,47183.18026597517
2,AJ Finch,266,249,14.953463164299453,5006411536,44680.947934926764,112048.0152590166
3,AJ Tye,6,6,,1296,,
4,AM Rahane,113,111,20.622023594760464,163047361,18312.356952147293,8903.67970797343
5,AR Patel,28,24,6.658328118479393,614656,479.39962453051635,1282.1370075163125
6,AS Rajpoot,9,9,3.5355339059327378,6561,63.63961030678928,103.09616869699863
7,AS Yadav,362,236,28.99122124179851,17172529936,75261.21034370892,228172.38598177087
8,AT Rayudu,355,283,18.719459976670848,15882300625,58273.67890737635,272546.7298923116
9,Abdul Samad,120,68,9.352870707766172,207360000,4451.966456896698,46577.17033756427
10,Abhishek Sharma,64,55,10.415190371577012,16777216,4009.8482930571495,4184.0026788666555
11,Anrich Nortje,4,4,1.4142135623730951,256,11.313708498984761,22.62741699796952
12,Arshdeep Singh,0,2,,0,,
13,BA Stokes,286,202,32.24349325279221,6690585616,52105.48509651222,128404.63155860432
14,CH Gayle,316,242,27.96085699347436,9971220736,47365.691746945566,210515.6785056983
15,CH Morris,34,19,10.281050529979902,1336336,976.6998003480907,1368.2156989524692
16,CJ Jordan,35,43,4.9916597106239795,1500625,858.5654702273245,1747.828269406963
17,CV Varun,9,15,3.5355339059327378,6561,106.06601717798213,61.857701218199175
18,Carey,32,27,5.773502691896258,1048576,467.65371804359694,2242.2060587621518
19,Cottrell,0,2,,0,,
20,D Padikkal,473,390,23.748283145965573,50054665441,138927.4564038986,360293.54266357503
21,DA Warner,592,433,27.386127875258303,122825015296,189731.09391978953,647363.6595798333
22,DJ Bravo,7,5,4.949747468305833,2401,49.49747468305833,48.50752518939716
23,DJ Hooda,102,75,25.323901753086943,108243216,9496.463157407603,11398.266302498754
24,DL Chahar,7,11,2.516611478423583,2401,83.04817878797824,28.910928993756094
25,DS Kulkarni,3,2,,81,,
26,DW Steyn,1,2,,1,,
27,Deshpande,21,11,13.435028842544403,194481,295.57063453597686,657.984851253306
28,EJG Morgan,418,304,16.700332299122042,30528476176,71076.61426506341,429515.0590903398
29,F du Plessis,448,318,27.51638630255643,40282095616,105002.53013055534,383629.76173921797
30,GJ Maxwell,116,117,9.832229008354478,181063936,12654.078733752212,14308.741063626254
31,Gurkeerat Singh,71,82,7.395944834840238,25411681,3032.3373822844974,8380.22877944254
32,HH Pandya,278,165,16.20473407968815,5972816656,37432.93572407963,159560.46568257382
33,HV Patel,110,87,13.013729014281143,146410000,9057.555393939676,16164.405695819596
34,I Udana,15,9,4.58257569495584,50625,123.72954376380767,409.15854419248575
35,Imran Tahir,13,10,,28561,,
36,Ishan Kishan,517,353,25.535922410074267,71443409521,108170.1673290746,660472.3953477424
37,J Archer,105,61,7.397447007057383,121550625,4512.4426743050035,26936.76879091233
38,J Bairstow,365,299,28.805618138891525,17748900625,94741.67805881423,187339.94360941913
39,JC Buttler,327,223,21.477789796565535,11433811041,57474.56549560937,198936.88525359027
40,JD Unadkat,9,12,,6561,,
41,JDS Neesham,19,16,4.041451884327381,130321,193.98969044771428,671.7934324201893
42,JJ Bumrah,5,3,,625,,
43,JL Pattinson,15,12,4.949747468305833,50625,118.79393923933998,426.1581047329639
44,JO Holder,77,60,10.626225419530053,35153041,2550.294100687213,13783.9165257558
45,Jagadeesan,33,29,,1185921,,
46,K Ahmed,0,2,,0,,
47,K Gowtham,42,26,1.4142135623730951,3111696,73.53910524340095,42313.48735752029
48,K Rabada,56,50,5.750362307426087,9834496,1725.1086922278262,5700.797894247239
49,KA Pollard,280,154,20.526405757787536,6146560000,37932.797840391366,162038.139814065
50,KD Karthik,168,130,17.03653690582654,796594176,28791.747370846853,27667.448096831842
51,KH Pandya,109,85,10.246408584908611,141158161,8709.447297172319,16207.476339609928
52,KK Nair,16,13,8.386497083606084,65536,327.0733862606373,200.3709343314649
53,KL Nagarkoti,22,31,3.011090610836324,234256,560.0628536155563,418.26733997395274
54,KL Rahul,701,551,33.218308866588075,241474942801,256246.0345968604,942355.8229141026
55,KM Jadhav,62,65,10.784247771634329,14776336,3504.880525781157,4215.931439405255
56,KS Williamson,316,236,21.904752493880906,9971220736,56864.73747411483,175349.80690870085
57,Kartik Tyagi,4,5,0.0,256,0.0,inf
58,Kuldeep Yadav,13,21,7.7781745930520225,28561,326.6833329081849,87.42717219683544
59,L Ferguson,42,28,4.242640687119285,3111696,237.58787847867995,13097.031801137235
60,M Ali,12,14,6.082762530298219,20736,255.47602627252522,81.1661285896164
61,M Ashwin,8,6,,4096,,
62,M Lomror,59,51,24.193663082165408,12117361,3701.6304515713073,3273.5199146787586
63,M Vijay,32,42,10.016652800877813,1048576,1262.0982529106043,830.819627221425
64,MA Agarwal,436,280,33.30847557986624,36136489216,102590.10478598802,352241.4690128633
65,MK Pandey,440,369,22.340439523322683,37480960000,123654.33276159105,303110.7698608857
66,MP Stoinis,353,240,21.111399206840563,15527402881,86134.5087639095,180269.24520530854
67,MS Dhoni,200,169,13.459253885394803,1600000000,27295.366879580662,58618.00675033025
68,Mandeep Singh,147,120,23.19051530259731,466948881,13914.309181558385,33558.89788757032
69,Mohammad Nabi,10,7,,10000,,
70,Mohammed Shami,2,3,1.4142135623730951,16,8.485281374238571,1.8856180831641265
71,Mohammed Siraj,17,14,4.041451884327381,83521,169.74097914175,492.04971258149726
72,Mujeeb Ur Rahman,1,2,,1,,
73,N Naik,1,2,,1,,
74,N Pooran,386,234,24.174730244980655,22199808016,79196.41628255663,280313.290146812
75,N Rana,347,248,29.742709827431458,14498327281,88514.30444643601,163796.4323582703
76,N Saini,27,27,3.0,531441,243.0,2187.0
77,NM Coulter-Nile,25,15,16.263455967290593,390625,487.9036790187178,800.6190910173772
78,P Kumar,0,2,,0,,
79,P Shaw,228,160,23.897752281387554,2702336256,49707.32474528611,54364.95063549503
80,PJ Cummins,146,114,16.64131405067921,454371856,18971.0980177743,23950.741046949013
81,Philippe,82,78,17.21336689901194,45212176,6713.213090614657,6734.8042419818985
82,Prabhsimran Singh,4,6,,256,,
83,Prasidh Krishna,2,4,1.4142135623730951,16,11.313708498984761,1.414213562373095
84,Praveen Dubey,7,13,,2401,,
85,Priyam Garg,131,115,13.001068332170929,294499921,13456.10572379691,21885.96961446145
86,Q de Kock,503,359,22.981061043099526,64013554081,132003.21463156366,484939.35742147855
87,R Ashwin,37,31,5.727128425310541,1874161,887.7049059231339,2111.243260564207
88,R Parag,86,76,14.801061737977736,54700816,8999.045536690464,6078.513079745683
89,R Singh,11,10,,14641,,
90,R Tewatia,251,185,16.37570262198347,3969126001,33324.554835736366,119105.14695739056
91,RA Jadeja,230,138,15.016354720467584,2798410000,22794.826465669794,122765.13726544716
92,RA Tripathi,230,180,23.763225982406286,2798410000,47051.18744516445,59475.86345746092
93,RD Chahar,2,4,,16,,
94,RD Gaikwad,212,172,36.71920478441765,2019963136,31578.516114599177,63966.37285518757
95,RG Sharma,337,265,29.855586757021886,12897917761,94940.7658873296,135852.26157019346
96,RR Pant,340,314,16.04047079411023,13363360000,70513.90961090858,189513.8147032011
97,RV Uthappa,192,160,12.052913642465347,1358954496,23141.594193533467,58723.460649903594
98,Rashid Khan,35,31,5.431390245600108,1500625,841.8654880680167,1782.4997238498988
99,Ravi Bishnoi,7,11,3.5355339059327378,2401,77.78174593052023,30.868425120525465
100,S Curran,188,139,15.36084488417078,1249198336,21351.574388997382,58506.14634973807
101,S Dhawan,615,425,35.33830546776873,143054150625,240300.47718082735,595313.6352590387
102,S Dube,130,106,8.530989261379819,285610000,8138.563755356347,35093.41556881304
103,S Gopal,37,37,8.96102672688794,1874161,1657.789944474269,1130.5177753351304
104,S Hetmyer,183,122,13.574039393435745,1121513121,18216.36086599077,61566.255151094476
105,S Nadeem,7,7,2.1213203435596424,2401,29.698484809834994,80.84587531566194
106,SA Yadav,118,98,17.52141546793523,193877776,6868.394863430611,28227.523294017832
107,SN Khan,33,29,3.605551275463989,1185921,313.68296096536704,3780.6356977449427
108,SN Thakur,12,20,7.0710678118654755,20736,282.842712474619,73.31283107342125
109,SP Goswami,0,5,0.0,0,0.0,
110,SP Narine,121,86,19.869015521101637,214358881,15378.618013332667,13938.761000121021
111,SPD Smith,296,237,20.179415036338174,7676563456,66955.29909057006,114652.06727873706
112,SR Watson,299,250,24.65691863075426,7992538801,67806.52623457421,117872.7070215941
113,SS Iyer,510,421,22.107690969434145,67652010000,158224.74426824017,427569.0904913633
114,SS Tiwary,103,77,17.78482499211055,112550881,6847.157621962562,16437.606261463596
115,SV Samson,383,234,29.093118152056576,21517662721,102116.84471371859,210716.0946984222
116,Sandeep Sharma,12,14,3.7815340802378077,20736,264.70738561664655,78.3355551326785
117,Shahbaz Ahmed,1,1,,1,,
118,Shivam Mavi,10,12,5.656854249492381,10000,135.76450198781714,73.65695637359869
119,Shubman Gill,437,370,20.528324040507737,36469158961,106336.71852983008,342959.2286202578
120,Simran Singh,11,7,,14641,,
121,T Banton,18,21,1.4142135623730951,104976,59.396969619669996,1767.3628919485477
122,T Curran,83,62,22.61820800446696,47458321,5609.315585107806,8460.625949803445
123,T Natarajan,3,5,2.1213203435596424,81,21.213203435596423,3.818376618407357
124,TA Boult,0,1,,0,,
125,UT Yadav,0,2,,0,,
126,V Kohli,473,393,25.972146252329264,50054665441,153105.802157481,326928.599280091
127,V Shankar,124,123,25.645662401271682,236421376,15772.082376782084,14989.86439152977
128,VR Aaron,1,9,0.7071067811865476,1,12.727922061357857,0.07856742013183861
129,WP Saha,214,157,25.199206336708304,2097273616,15825.101579452816,132528.2877629729
130,Washington Sundar,111,93,9.219544457292889,151807041,7716.758710754148,19672.384052703408
131,YBK Jaiswal,40,42,18.14754345175493,2560000,2286.5904749211213,1119.5708318028878
132,YS Chahal,1,5,0.7071067811865476,1,7.0710678118654755,0.1414213562373095
